STATE_ALPHA	COUNTY_NAME	PRIM_LAT_DEC	PRIM_LONG_DEC
AR	Benton	36.4805825	-94.4580681
AZ	Apache	36.4611122	-109.4784394
AZ	Apache	36.546112	-109.5176069
AZ	Apache	34.5714281	-109.2203696
AZ	Maricopa	33.2486547	-112.7735045
AZ	Graham	32.4709038	-109.9361853
AZ	Apache	35.8750096	-109.5442721
MO	Buchanan	39.6469399	-94.8046851
MO	Henry	38.3436325	-94.0146639
MO	Macon	39.9272561	-92.550745
MO	Greene	37.192829	-93.5510308
MO	Cooper	38.8686431	-92.5518539
MO	Lawrence	37.1928333	-94.0368815
MO	Franklin	38.2775508	-90.997362
MO	Texas	37.3600474	-92.0826582
MO	Cole	38.5614205	-92.3226854
MO	Howell	36.6853379	-91.6868116
MO	Perry	37.816163	-89.7126039
MO	McDonald	36.5736843	-94.4171594
MO	Franklin	38.453939	-91.2540413
NM	Rio Arriba	36.4130711	-106.8864274
MD	Washington	39.6959251	-78.19973
IL	Lake	42.1828026	-88.0795211
IL	Lake	42.1794693	-88.0770209
IL	Lake	42.1955801	-88.082855
IL	Lake	42.1964134	-88.0831328
IL	Lake	42.1991912	-88.0897997
IL	Winnebago	42.2630758	-89.243998
IL	Winnebago	42.2677978	-89.2412202
IL	Winnebago	42.263909	-89.2417758
IL	Winnebago	42.2658534	-89.2426091
IL	Whiteside	41.6297544	-89.7831621
IL	Whiteside	41.6319766	-89.7842733
IL	Whiteside	41.6336432	-89.7884401
IL	Whiteside	41.8091968	-89.7503885
IL	Whiteside	41.8811111	-90.0922222
IL	Whiteside	41.7966966	-90.1704035
IL	Whiteside	41.9172503	-89.8815072
IL	Whiteside	41.9016963	-89.6973341
OH	Summit	41.2667224	-81.3914984
HI	Maui	21.1549576	-156.8668699
OH	Cuyahoga	0	0
OH	Columbiana	0	0
OK	McCurtain	33.9237238	-94.5657664
OH	Cuyahoga	41.3792201	-81.6165134
HI	Maui	21.0537044	-156.861248
IA	Pottawattamie	41.3872177	-95.8538999
